,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
mean_fit_time,0.014560556411743164,0.013962221145629884,0.011779165267944336,0.010958576202392578,0.010366868972778321,0.01037302017211914,0.006382465362548828,0.009380292892456055,0.010371875762939454,0.010559415817260743,0.010771512985229492,0.010577964782714843,0.006758594512939453,0.010765933990478515,0.01216750144958496,0.010970640182495116,0.010970973968505859,0.010970878601074218,0.007590723037719726,0.009971952438354493,0.010951948165893555,0.011357831954956054,0.011562347412109375,0.011173868179321289,0.008775568008422852,0.010564708709716797,0.01178584098815918,0.013754844665527344,0.014574193954467773,0.014549970626831055,0.009573030471801757,0.01176753044128418,0.01436152458190918,0.014760923385620118,0.013732290267944336,0.013962984085083008,0.0033972740173339845,0.012163543701171875,0.0797755241394043,1.0625705242156982,1.847860336303711,4.5029473304748535
std_fit_time,0.003816327130102313,0.0020920101358106596,0.004240839137700759,0.0006144844254330127,0.0005076275088652584,0.0004876803308372655,0.0004888112806821458,0.0007948895936652294,0.00048693375528842257,0.0004806109488579312,0.0003988751521445935,0.0004950284998075745,0.00038873742743959685,0.0007448268546904164,0.000398613915455182,2.248700539790084e-05,0.0006314300370848865,4.623107774177865e-07,0.0004742911892048398,5.477611725148918e-06,0.0006087496978683925,0.0005224654804195444,0.0004824849399521541,0.00039943882278077993,0.0009765713894335155,0.0004977271528781847,0.0004091672832333248,0.0011913474899593274,0.0007618792528640567,0.0018549856836234872,0.0011969976461455782,0.0007481177272642294,0.0013538368673985904,0.001164673078998459,0.0007442092653532933,3.224984753781686e-05,0.0010142919010159097,0.0030062381072348894,0.05157715690502632,1.3066779854311308,0.21892783687605968,2.8542375474545225
mean_score_time,0.0025928974151611327,0.0061835765838623045,0.002794027328491211,0.002594614028930664,0.002598094940185547,0.002604103088378906,0.001596212387084961,0.002199602127075195,0.002792215347290039,0.0027928829193115236,0.0025928974151611327,0.0025977611541748045,0.001808309555053711,0.002394294738769531,0.0027921199798583984,0.0027918338775634764,0.0025923728942871095,0.002393293380737305,0.001795816421508789,0.0023956775665283205,0.0029991626739501952,0.002393960952758789,0.0026065826416015623,0.002993202209472656,0.001795339584350586,0.0024018287658691406,0.002382850646972656,0.002790069580078125,0.003399372100830078,0.003210592269897461,0.001596212387084961,0.002793407440185547,0.0029917240142822267,0.0032027721405029296,0.0030196189880371095,0.0031633377075195312,0.0005913734436035156,0.0006066322326660156,0.0007981300354003906,0.0003994941711425781,0.00019941329956054687,0.0002029895782470703
std_score_time,0.0007983328634140655,0.0027786973664289593,0.0007463587051268116,0.0004664414305790247,0.00048345897024173345,0.00047512693316629486,0.0004885194474978898,0.00039648490427531246,0.0007444689611381018,0.000399259468493225,0.0004887918274561324,0.00048319056262115576,0.00037367405891671276,0.0004875681417739693,0.00039863686242047055,0.00039920826819424455,0.000488460901671617,0.0004885777256966608,0.0003981918732577681,0.0004897555756028388,2.569333832601093e-05,0.0004886176907863812,0.0005003377886972879,3.5826499135382615e-05,0.00039913661092150687,0.00045995129947982126,0.0004742900194752204,0.00037891775892716654,0.0004784012652595487,0.0003901981628500259,0.0004890061423562499,0.00039989221553536684,1.1523290608973096e-06,0.00039398456593106145,0.0006445300889501445,0.0007314666930808555,0.0004830417510332541,0.0004955552414006115,0.00039906543078032525,0.0004892792737390117,0.00039882659912109374,0.00040597915649414067
param_C,0.001,0.001,0.001,0.001,0.001,0.001,0.01,0.01,0.01,0.01,0.01,0.01,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,1,10,10,10,10,10,10,100,100,100,100,100,100,0.001,0.01,0.1,1,10,100
param_gamma,0.001,0.01,0.1,1,10,100,0.001,0.01,0.1,1,10,100,0.001,0.01,0.1,1,10,100,0.001,0.01,0.1,1,10,100,0.001,0.01,0.1,1,10,100,0.001,0.01,0.1,1,10,100,,,,,,
param_kernel,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,rbf,linear,linear,linear,linear,linear,linear
params,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 0.001, 'gamma': 1, 'kernel': 'rbf'}","{'C': 0.001, 'gamma': 10, 'kernel': 'rbf'}","{'C': 0.001, 'gamma': 100, 'kernel': 'rbf'}","{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}","{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}","{'C': 0.01, 'gamma': 100, 'kernel': 'rbf'}","{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}","{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}","{'C': 0.1, 'gamma': 100, 'kernel': 'rbf'}","{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 1, 'gamma': 1, 'kernel': 'rbf'}","{'C': 1, 'gamma': 10, 'kernel': 'rbf'}","{'C': 1, 'gamma': 100, 'kernel': 'rbf'}","{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 10, 'gamma': 1, 'kernel': 'rbf'}","{'C': 10, 'gamma': 10, 'kernel': 'rbf'}","{'C': 10, 'gamma': 100, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}","{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}","{'C': 100, 'gamma': 1, 'kernel': 'rbf'}","{'C': 100, 'gamma': 10, 'kernel': 'rbf'}","{'C': 100, 'gamma': 100, 'kernel': 'rbf'}","{'C': 0.001, 'kernel': 'linear'}","{'C': 0.01, 'kernel': 'linear'}","{'C': 0.1, 'kernel': 'linear'}","{'C': 1, 'kernel': 'linear'}","{'C': 10, 'kernel': 'linear'}","{'C': 100, 'kernel': 'linear'}"
split0_test_score,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.9375,0.625,0.625,0.625,0.625,0.625,0.9125,0.625,0.625,0.625,0.625,0.625,0.9125,0.625,0.625,0.625,0.625,0.625,0.9875,0.975,0.95,0.9375,0.9625,0.95
split1_test_score,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.95,0.525,0.525,0.525,0.525,0.525,0.9375,0.525,0.525,0.525,0.525,0.525,0.9375,0.525,0.525,0.525,0.525,0.525,0.95,0.95,0.975,0.9875,0.9875,0.9875
split2_test_score,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.9125,0.65,0.65,0.65,0.65,0.65,0.9125,0.6625,0.65,0.65,0.65,0.65,0.9125,0.6625,0.65,0.65,0.65,0.65,0.9375,0.925,0.925,0.95,0.9625,0.975
split3_test_score,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.9113924050632911,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.9240506329113924,0.6329113924050633,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.9240506329113924,0.6329113924050633,0.620253164556962,0.620253164556962,0.620253164556962,0.620253164556962,0.9113924050632911,0.9367088607594937,0.9240506329113924,0.9240506329113924,0.9493670886075949,0.9620253164556962
split4_test_score,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.8860759493670886,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.8734177215189873,0.7088607594936709,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.8734177215189873,0.7088607594936709,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.9367088607594937,0.9493670886075949,0.9620253164556962,0.9746835443037974,0.9620253164556962,0.9746835443037974
mean_test_score,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.9195979899497487,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.9120603015075377,0.6306532663316583,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.9120603015075377,0.6306532663316583,0.628140703517588,0.628140703517588,0.628140703517588,0.628140703517588,0.9447236180904522,0.9472361809045227,0.9472361809045227,0.9547738693467337,0.964824120603015,0.9698492462311558
std_test_score,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.022287821372229573,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.021333057610173307,0.06057310676319968,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.021333057610173307,0.06057310676319968,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.06308269005727503,0.024842643408688737,0.01669615704942041,0.020148946139974335,0.023363995524040372,0.012430043908599274,0.012803885716656135
rank_test_score,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,12,12,12,12,12,8,10,12,12,12,12,8,10,12,12,12,12,6,4,4,3,2,1
